,time,brand,quantity
0,1,Air,12.0
1,1,Cali,15.0
2,1,FUME,10.0
3,1,HQD,1.0
4,1,Hyde,1.0
5,1,Ooze,2.0
6,1,Palm,4.0
7,1,RG,1.0
8,1,Yocan,1.0
9,2,Air,12.0
10,2,Cali,7.0
11,2,FUME,9.0
12,2,HQD,3.0
13,2,Ooze,3.0
14,2,Palm,1.0
15,2,Puff,1.0
16,2,RG,1.0
17,3,Air,12.0
18,3,Cali,9.0
19,3,FUME,3.0
20,3,HQD,3.0
21,3,Ooze,2.0
22,3,Puff,1.0
23,3,RG,2.0
24,4,Air,14.0
25,4,Cali,21.0
26,4,Ezzy,1.0
27,4,FUME,5.0
28,4,HQD,1.0
29,4,Palm,1.0
30,4,Puff,1.0
31,5,Air,9.0
32,5,BARZ,1.0
33,5,Cali,18.0
34,5,FUME,12.0
35,5,HQD,2.0
36,5,Hyde,3.0
37,5,Just,1.0
38,5,Palm,2.0
39,5,Puff,1.0
40,6,Air,21.0
41,6,Cali,7.0
42,6,FUME,6.0
43,6,HQD,4.0
44,6,Ooze,2.0
45,6,Palm,4.0
46,6,Puff,3.0
47,7,Air,10.0
48,7,Cali,10.0
49,7,Ezzy,2.0
50,7,FUME,9.0
51,7,HQD,1.0
52,7,Hyde,3.0
53,7,Ooze,2.0
54,7,Palm,1.0
55,7,RG,1.0
56,7,STIG,1.0
57,8,Air,11.0
58,8,Cali,17.0
59,8,Ezzy,1.0
60,8,FUME,2.0
61,8,Ooze,1.0
62,8,Palm,1.0
63,8,Puff,1.0
64,9,Air,19.0
65,9,Cali,8.0
66,9,Ezzy,1.0
67,9,FUME,7.0
68,9,HQD,2.0
69,9,Hyde,1.0
70,9,Ooze,1.0
71,9,Puff,3.0
72,9,SlimBarz,1.0
73,10,Air,4.0
74,10,Cali,7.0
75,10,Ezzy,1.0
76,10,FUME,8.0
77,10,Hyde,1.0
78,10,POP,2.0
79,10,Palm,1.0
80,10,RG,5.0
81,11,Air,17.0
82,11,Cali,11.0
83,11,FUME,11.0
84,11,HQD,3.0
85,11,Ooze,2.0
86,11,Puff,1.0
87,12,Air,7.0
88,12,Cali,11.0
89,12,FUME,7.0
90,12,HQD,5.0
91,12,Hyde,1.0
92,12,Ooze,2.0
93,12,Palm,1.0
94,12,RG,1.0
95,12,STIG,3.0
96,12,Sea,2.0
97,12,Yocan,2.0
98,13,Air,11.0
99,13,Cali,7.0
100,13,FUME,8.0
101,13,HQD,3.0
102,13,Hyde,2.0
103,13,Ooze,1.0
104,13,Puff,1.0
105,13,RG,3.0
106,14,Air,11.0
107,14,Cali,11.0
108,14,FUME,15.0
109,14,HQD,1.0
110,14,Ooze,1.0
111,14,Puff,1.0
112,15,Air,16.0
113,15,Cali,8.0
114,15,FUME,12.0
115,15,HQD,4.0
116,15,Palm,2.0
117,15,Puff,2.0
118,15,RG,1.0
119,15,Yocan,1.0
120,16,Air,10.0
121,16,Cali,9.0
122,16,FUME,10.0
123,16,HQD,1.0
124,16,Hyde,1.0
125,16,Ooze,1.0
126,16,Puff,1.0
127,16,STIG,3.0
128,17,Air,10.0
129,17,BARZ,1.0
130,17,Cali,17.0
131,17,FUME,14.0
132,17,Ooze,1.0
133,17,RG,1.0
134,18,Air,14.0
135,18,BARZ,1.0
136,18,Cali,8.0
137,18,Ezzy,1.0
138,18,FUME,3.0
139,18,HQD,3.0
140,18,Hyde,1.0
141,18,Ooze,1.0
142,18,Puff,1.0
143,18,STIG,4.0
144,18,Xtra,1.0
145,19,Air,17.0
146,19,Cali,12.0
147,19,Ezzy,2.0
148,19,FUME,10.0
149,19,HQD,2.0
150,19,Just,1.0
151,19,Ooze,4.0
152,19,Palm,1.0
153,19,Puff,2.0
154,19,RG,1.0
155,19,Xtra,1.0
156,20,Air,11.0
157,20,Cali,18.0
158,20,FUME,12.0
159,20,HQD,1.0
160,20,Ooze,2.0
161,20,STIG,1.0
162,21,Air,6.0
163,21,Cali,10.0
164,21,FUME,9.0
165,21,HQD,5.0
166,21,POP,1.0
167,21,Puff,3.0
168,22,Air,18.0
169,22,Cali,14.0
170,22,Ezzy,1.0
171,22,FUME,9.0
172,22,HQD,2.0
173,22,Ooze,3.0
174,22,Palm,2.0
175,22,Puff,1.0
176,23,Air,7.0
177,23,Cali,14.0
178,23,FUME,10.0
179,23,HQD,1.0
180,23,Ooze,3.0
181,23,Palm,3.0
182,23,Puff,1.0
183,23,Yocan,1.0
184,24,Air,12.0
185,24,Cali,6.0
186,24,FUME,3.0
187,24,HQD,3.0
188,24,Hyde,1.0
189,24,Ooze,2.0
190,25,Air,16.0
191,25,Cali,18.0
192,25,FUME,12.0
193,25,HQD,5.0
194,25,Ooze,1.0
195,25,Palm,2.0
196,25,Puff,3.0
197,25,STIG,2.0
198,26,Air,10.0
199,26,Cali,7.0
200,26,FUME,7.0
201,26,HQD,8.0
202,26,Ooze,1.0
203,26,STIG,2.0
204,27,Air,12.0
205,27,Cali,8.0
206,27,FUME,6.0
207,27,Palm,1.0
208,27,Puff,3.0
209,27,STIG,1.0
210,28,Air,8.0
211,28,Cali,12.0
212,28,FUME,9.0
213,28,HQD,1.0
214,28,Hyde,1.0
215,28,STIG,1.0
216,29,Air,20.0
217,29,Cali,13.0
218,29,Ezzy,1.0
219,29,FUME,12.0
220,29,HQD,7.0
221,29,Hyde,3.0
222,29,Puff,1.0
223,30,Air,8.0
224,30,BARZ,1.0
225,30,Cali,8.0
226,30,FUME,3.0
227,30,HQD,1.0
228,30,Ooze,2.0
229,30,Palm,2.0
230,31,Air,7.0
231,31,Cali,10.0
232,31,Ezzy,1.0
233,31,FUME,10.0
234,31,HQD,1.0
235,31,Puff,1.0
236,32,Air,8.0
237,32,Cali,12.0
238,32,FUME,9.0
239,32,HQD,5.0
240,32,Hyde,1.0
241,32,Puff,1.0
242,32,RG,1.0
243,33,Air,19.0
244,33,Cali,12.0
245,33,FUME,5.0
246,33,Ooze,2.0
247,33,Palm,2.0
248,34,Air,12.0
249,34,Cali,11.0
250,34,Ezzy,1.0
251,34,FUME,11.0
252,34,HQD,3.0
253,34,Xtra,2.0
254,34,Yocan,1.0
255,35,Air,7.0
256,35,Cali,15.0
257,35,FUME,9.0
258,35,HQD,1.0
259,36,Air,20.0
260,36,Cali,16.0
261,36,FUME,14.0
262,36,HQD,3.0
263,36,Palm,1.0
264,37,Air,9.0
265,37,Cali,15.0
266,37,FUME,6.0
267,37,HQD,1.0
268,37,Mr,1.0
269,37,Yocan,1.0
270,38,Air,15.0
271,38,Cali,11.0
272,38,FUME,11.0
273,38,HQD,2.0
274,38,Ooze,1.0
275,38,Palm,2.0
276,39,Air,11.0
277,39,Cali,10.0
278,39,Ezzy,1.0
279,39,FUME,17.0
280,39,HQD,2.0
281,39,Ooze,1.0
282,39,Palm,1.0
283,39,RG,3.0
284,39,Yocan,1.0
285,40,Air,10.0
286,40,Cali,23.0
287,40,FUME,11.0
288,40,HQD,1.0
289,40,Ooze,1.0
290,40,Palm,2.0
291,41,Air,12.0
292,41,Cali,10.0
293,41,FUME,6.0
294,41,HQD,5.0
295,41,Hyde,1.0
296,41,RG,1.0
297,42,Air,13.0
298,42,Cali,10.0
299,42,FUME,10.0
300,42,HQD,2.0
301,42,Hyde,1.0
302,42,SlimBarz,1.0
303,42,Xtra,1.0
304,43,Air,17.0
305,43,Cali,13.0
306,43,FUME,7.0
307,43,HQD,5.0
308,44,Air,11.0
309,44,Cali,5.0
310,44,FUME,13.0
311,44,HQD,1.0
312,44,Hyde,1.0
313,44,Ooze,1.0
314,45,Air,12.0
315,45,Cali,9.0
316,45,FUME,9.0
317,45,HQD,2.0
318,45,Hyde,1.0
319,45,Ooze,1.0
320,45,Palm,1.0
321,46,Air,8.0
322,46,Cali,17.0
323,46,Ezzy,2.0
324,46,FUME,13.0
325,46,HQD,4.0
326,46,Hyde,1.0
327,46,Palm,2.0
328,47,Air,12.0
329,47,Cali,12.0
330,47,FUME,4.0
331,47,Hyde,1.0
332,47,Yocan,1.0
333,48,Air,8.0
334,48,Cali,7.0
335,48,Ezzy,1.0
336,48,FUME,6.0
337,48,HQD,2.0
338,48,Hyde,2.0
339,48,Ooze,1.0
340,48,SlimBarz,2.0
341,49,Air,11.0
342,49,Cali,10.0
343,49,FUME,12.0
344,49,Hyde,2.0
345,49,SlimBarz,2.0
346,50,Air,9.0
347,50,Cali,14.0
348,50,FUME,8.0
349,50,HQD,4.0
350,50,Hyde,3.0
351,50,Ooze,2.0
352,50,Stik,2.0
353,51,Air,7.0
354,51,Cali,15.0
355,51,FUME,11.0
356,51,Fume,10.0
357,51,HQD,3.0
358,51,Hyde,2.0
359,51,Ooze,1.0
360,51,Palm,1.0
361,51,Yocan,1.0
362,52,Air,13.0
363,52,Cali,13.0
364,52,Ezzy,1.0
365,52,FUME,10.0
366,52,Hyde,1.0
367,52,Xtra,1.0
368,53,Air,12.0
369,53,Cali,9.0
370,53,Ezzy,1.0
371,53,FUME,13.0
372,53,Fume,2.0
373,53,HQD,2.0
374,53,Hyde,1.0
375,53,Puff,2.0
376,53,RG,3.0
377,53,Sea,1.0
378,53,Yocan,1.0
379,54,Air,15.0
380,54,Cali,5.0
381,54,FUME,10.0
382,54,Fume,1.0
383,54,HQD,2.0
384,54,Hyde,2.0
385,54,Ooze,1.0
386,54,Palm,1.0
387,54,Stik,1.0
388,55,Air,12.0
389,55,Cali,9.0
390,55,FUME,8.0
391,55,Fume,2.0
392,55,HQD,5.0
393,55,Ooze,4.0
394,55,Palm,3.0
395,55,Sea,1.0
396,56,Air,5.0
397,56,Cali,12.0
398,56,FUME,8.0
399,56,Fume,5.0
400,56,HQD,1.0
401,56,Ooze,3.0
402,56,Palm,1.0
403,57,Air,14.0
404,57,Cali,8.0
405,57,FUME,13.0
406,57,Fume,1.0
407,57,HQD,2.0
408,57,Yocan,1.0
409,58,Air,12.0
410,58,Cali,13.0
411,58,FUME,7.0
412,58,Fume,3.0
413,58,HQD,1.0
414,58,Hyde,4.0
415,58,Just,2.0
416,58,Ooze,3.0
417,59,Air,21.0
418,59,Cali,6.0
419,59,FUME,6.0
420,59,Fume,2.0
421,59,HQD,5.0
422,60,Air,11.0
423,60,Cali,13.0
424,60,FUME,8.0
425,60,HQD,2.0
426,60,Hyde,1.0
427,60,Palm,1.0
428,60,Xtra,1.0
429,61,Air,18.0
430,61,Cali,4.0
431,61,FUME,11.0
432,61,Fume,1.0
433,61,HQD,3.0
434,61,Hyde,3.0
435,61,Puff,1.0
436,61,Yocan,1.0
437,62,Air,6.0
438,62,Cali,9.0
439,62,FUME,12.0
440,62,Fume,3.0
441,62,HQD,2.0
442,63,Air,5.0
443,63,Cali,15.0
444,63,FUME,6.0
445,63,Fume,3.0
446,63,HQD,3.0
447,63,Hyde,2.0
448,63,Yocan,1.0
449,64,Air,18.0
450,64,Cali,11.0
451,64,FUME,5.0
452,64,HQD,2.0
453,64,Just,1.0
454,64,Ooze,4.0
455,64,Palm,1.0
456,64,RG,2.0
457,64,Yocan,1.0
458,65,Air,8.0
459,65,Cali,15.0
460,65,FUME,3.0
461,65,Fume,3.0
462,65,HQD,3.0
463,65,Ooze,4.0
464,65,Palm,1.0
465,66,Air,7.0
466,66,Cali,4.0
467,66,FUME,12.0
468,66,Fume,6.0
469,66,HQD,5.0
470,66,Hyde,2.0
471,66,Ooze,2.0
472,66,Sea,1.0
473,67,Air,11.0
474,67,Cali,10.0
475,67,FUME,8.0
476,67,HQD,1.0
477,67,Hyde,1.0
478,67,Palm,2.0
479,67,Yocan,1.0
480,68,Air,7.0
481,68,Cali,6.0
482,68,FUME,9.0
483,68,Fume,2.0
484,68,HQD,2.0
485,68,Hyde,1.0
486,68,Ooze,1.0
487,68,Palm,3.0
488,69,Air,11.0
489,69,Cali,14.0
490,69,FUME,7.0
491,69,Fume,3.0
492,69,HQD,4.0
493,69,Palm,1.0
494,70,Air,10.0
495,70,Cali,5.0
496,70,FUME,7.0
497,70,Fume,6.0
498,70,HQD,5.0
499,70,Hyde,1.0
500,70,Ooze,3.0
501,70,Palm,2.0
502,71,Air,17.0
503,71,Cali,12.0
504,71,FUME,6.0
505,71,Fume,3.0
506,71,HQD,2.0
507,71,Ooze,1.0
508,71,Palm,2.0
509,72,Air,14.0
510,72,Cali,7.0
511,72,FUME,6.0
512,72,Fume,3.0
513,72,HQD,2.0
514,72,Hyde,1.0
515,72,Ooze,1.0
516,72,Palm,1.0
517,73,Air,7.0
518,73,Cali,13.0
519,73,FUME,7.0
520,73,Fume,3.0
521,73,HQD,1.0
522,73,Ooze,1.0
523,74,Air,14.0
524,74,Cali,8.0
525,74,FUME,5.0
526,74,Fume,6.0
527,74,HQD,4.0
528,74,Hyde,1.0
529,75,Air,14.0
530,75,Cali,12.0
531,75,FUME,8.0
532,75,Fume,2.0
533,75,Hyde,1.0
534,75,Ooze,8.0
535,75,Palm,3.0
536,76,Air,11.0
537,76,Cali,7.0
538,76,FUME,4.0
539,76,Fume,9.0
540,76,HQD,4.0
541,76,Ooze,1.0
542,76,Palm,1.0
543,76,Yocan,3.0
544,77,Air,11.0
545,77,Cali,13.0
546,77,FUME,10.0
547,77,Fume,2.0
548,77,Ooze,1.0
549,78,Air,8.0
550,78,Cali,15.0
551,78,FUME,7.0
552,78,Fume,1.0
553,78,HQD,1.0
554,78,Hyde,1.0
555,78,Ooze,2.0
556,78,RG,1.0
557,79,Air,18.0
558,79,Cali,8.0
559,79,FUME,5.0
560,79,Fume,1.0
561,79,HQD,5.0
562,79,Hyde,2.0
563,79,Ooze,1.0
564,79,Yocan,1.0
565,80,Air,17.0
566,80,Cali,11.0
567,80,Ezzy,1.0
568,80,FUME,6.0
569,80,Fume,2.0
570,80,HQD,4.0
571,80,Hyde,1.0
572,80,Ooze,1.0
573,80,Palm,2.0
574,81,Air,12.0
575,81,Cali,16.0
576,81,FUME,6.0
577,81,Fume,3.0
578,81,HQD,2.0
579,81,Yocan,1.0
580,82,Air,10.0
581,82,Cali,12.0
582,82,FUME,7.0
583,82,Fume,6.0
584,82,HQD,4.0
585,82,Ooze,1.0
586,83,Air,16.0
587,83,Cali,10.0
588,83,FUME,8.0
589,83,Ooze,1.0
590,83,Palm,1.0
591,83,Yocan,1.0
592,84,Air,11.0
593,84,Cali,11.0
594,84,FUME,10.0
595,84,Fume,4.0
596,84,HQD,5.0
597,84,Hyde,2.0
598,84,Ooze,1.0
599,84,Stik,1.0
600,84,Yocan,2.0
601,85,Air,22.0
602,85,Cali,16.0
603,85,FUME,14.0
604,85,Fume,7.0
605,85,HQD,4.0
606,85,Hyde,1.0
607,85,Ooze,4.0
608,86,Air,14.0
609,86,Cali,8.0
610,86,FUME,8.0
611,86,Fume,3.0
612,86,HQD,6.0
613,86,Hyde,1.0
614,86,Ooze,3.0
615,86,RG,1.0
616,86,Yocan,1.0
617,87,Air,19.0
618,87,Cali,11.0
619,87,FUME,8.0
620,87,Palm,2.0
621,88,Air,5.0
622,88,Cali,15.0
623,88,FUME,6.0
624,88,Fume,3.0
625,88,HQD,1.0
626,88,Hyde,1.0
627,88,Ooze,2.0
628,88,Palm,1.0
629,88,Yocan,1.0
630,89,Air,20.0
631,89,Cali,10.0
632,89,FUME,7.0
633,89,Fume,4.0
634,89,HQD,1.0
635,89,Ooze,2.0
636,90,Air,12.0
637,90,Cali,12.0
638,90,FUME,3.0
639,90,Fume,4.0
640,90,HQD,2.0
641,90,Ooze,3.0
642,91,Air,7.0
643,91,Cali,8.0
644,91,FUME,5.0
645,91,Fume,5.0
646,91,HQD,1.0
647,92,Air,17.0
648,92,Cali,5.0
649,92,FUME,9.0
650,92,Fume,7.0
651,92,HQD,4.0
652,92,Hyde,1.0
653,92,Ooze,3.0
654,93,Air,10.0
655,93,Cali,17.0
656,93,FUME,9.0
657,93,Fume,4.0
658,93,HQD,4.0
659,93,Ooze,1.0
660,93,Yocan,2.0
661,94,Air,10.0
662,94,Cali,9.0
663,94,FUME,2.0
664,94,Fume,2.0
665,94,HQD,1.0
666,94,Hyde,1.0
667,94,Ooze,1.0
668,94,Sea,1.0
669,94,Yocan,2.0
670,95,Air,13.0
